,from,to,round,duration,packets_per_ms,bytes_s,bytes_r,packets_s,packets_r,senders,receivers
202,54,55,2,8,3,33595800,33595800,23997,23997,1,1
203,54,55,3,8,4,44794400,44772000,31996,31980,1,1
204,54,55,4,8,5,55993000,55983200,39995,39988,1,1
205,54,55,5,8,6,67191600,67135600,47994,47954,1,1
206,54,55,6,8,7,78390200,78334200,55993,55953,1,1
207,54,55,7,8,8,89588800,89504800,63992,63932,1,1
208,56,57,0,8,1,11198600,11198600,7999,7999,1,1
209,56,57,1,8,2,22397200,21189000,15998,15135,1,1
210,56,57,2,8,3,33595800,33595800,23997,23997,1,1
211,56,57,3,8,4,44794400,44794400,31996,31996,1,1
212,56,57,4,8,5,55993000,55993000,39995,39995,1,1
213,56,57,5,8,6,67191600,67191600,47994,47994,1,1
214,56,57,6,8,7,78390200,78283800,55993,55917,1,1
215,56,57,7,8,8,89588800,89532800,63992,63952,1,1
216,58,59,0,8,1,11198600,11198600,7999,7999,1,1
217,58,59,1,8,2,22397200,22395800,15998,15997,1,1
218,58,59,2,8,3,33595800,33595800,23997,23997,1,1
219,58,59,3,8,4,44794400,44794400,31996,31996,1,1
220,58,59,4,8,5,55993000,55993000,39995,39995,1,1
221,58,59,5,8,6,67191600,67169200,47994,47978,1,1
222,58,59,6,8,7,78390200,78362200,55993,55973,1,1
223,58,59,7,8,8,89588800,89513200,63992,63938,1,1
224,6,7,0,8,1,11198600,11198600,7999,7999,1,1
225,6,7,1,8,2,22397200,22395800,15998,15997,1,1
226,6,7,2,8,3,33595800,33595800,23997,23997,1,1
227,6,7,3,8,4,44794400,44788800,31996,31992,1,1
228,6,7,4,8,5,55993000,55993000,39995,39995,1,1
229,6,7,5,8,6,67191600,66721200,47994,47658,1,1
230,6,7,6,8,7,78390200,78258600,55993,55899,1,1
231,6,7,7,8,8,89588800,89373200,63992,63838,1,1
232,60,61,0,8,1,11198600,11198600,7999,7999,1,1
233,60,61,1,8,2,22397200,22395800,15998,15997,1,1
234,60,61,2,8,3,33595800,33595800,23997,23997,1,1
235,60,61,3,8,4,44794400,44794400,31996,31996,1,1
236,60,61,4,8,5,55993000,55970600,39995,39979,1,1
237,60,61,5,8,6,67191600,66700200,47994,47643,1,1
238,60,61,6,8,7,78390200,76238400,55993,54456,1,1
239,60,61,7,8,8,89588800,89572000,63992,63980,1,1
240,62,63,0,8,1,11198600,11198600,7999,7999,1,1
241,62,63,1,8,2,22397200,22397200,15998,15998,1,1
242,62,63,2,8,3,33595800,33595800,23997,23997,1,1
243,62,63,3,8,4,44794400,44783200,31996,31988,1,1
244,62,63,4,8,5,55993000,55944000,39995,39960,1,1
245,62,63,5,8,6,67191600,66990000,47994,47850,1,1
246,62,63,6,8,7,78390200,78227800,55993,55877,1,1
247,62,63,7,8,8,89588800,89549600,63992,63964,1,1
248,64,65,0,8,1,11198600,11198600,7999,7999,1,1
249,64,65,1,8,2,22397200,22391600,15998,15994,1,1
250,64,65,2,8,3,33595800,33595800,23997,23997,1,1
251,64,65,3,8,4,44794400,44622200,31996,31873,1,1
252,64,65,4,8,5,55993000,55519800,39995,39657,1,1
